w	r	module_file	wave	priority	status	python_handler	parity_fixture	parity_status	cutover_status	owner	notes
XmlToBase64	encode	./api/contrib/XmlToBase64/module.php	W3_SUPPORT	P2	not_started	python_api.handlers.XmlToBase64.encode	tests/fixtures/parity/XmlToBase64/encode	not_captured	not_cutover	unassigned	
cala	cala_core	./api/modules/cala/module.php	W1_CORE	P2	not_started	python_api.handlers.cala.cala_core	tests/fixtures/parity/cala/cala_core	not_captured	not_cutover	unassigned	
cala	cala_default	./api/modules/cala/module.php	W1_CORE	P2	not_started	python_api.handlers.cala.cala_default	tests/fixtures/parity/cala/cala_default	not_captured	not_cutover	unassigned	
cala	cala_test_install	./api/modules/cala/module.php	W1_CORE	P2	not_started	python_api.handlers.cala.cala_test_install	tests/fixtures/parity/cala/cala_test_install	not_captured	not_cutover	unassigned	
callback	callback	./api/contrib/callback/module.php	W3_SUPPORT	P2	not_started	python_api.handlers.callback.callback	tests/fixtures/parity/callback/callback	not_captured	not_cutover	unassigned	
check	checkxml	./api/contrib/check/module.php	W3_SUPPORT	P2	not_started	python_api.handlers.check.checkxml	tests/fixtures/parity/check/checkxml	not_captured	not_cutover	unassigned	
clave	clave	./api/contrib/clave/module.php	W1_CORE	P0	in_progress	python_api.handlers.clave.clave	tests/fixtures/parity/clave/clave	not_captured	not_cutover	unassigned	python_handler_ported_no_parity
consultar	consultarCom	./api/contrib/consultar/module.php	W1_CORE	P0	in_progress	python_api.handlers.consultar.consultarCom	tests/fixtures/parity/consultar/consultarCom	not_captured	not_cutover	unassigned	python_handler_ported_no_parity
crlibreall	FE	./api/contrib/crlibreall/module.php	W2_BUSINESS	P1	not_started	python_api.handlers.crlibreall.FE	tests/fixtures/parity/crlibreall/FE	not_captured	not_cutover	unassigned	
crlibreall	NC	./api/contrib/crlibreall/module.php	W2_BUSINESS	P1	not_started	python_api.handlers.crlibreall.NC	tests/fixtures/parity/crlibreall/NC	not_captured	not_cutover	unassigned	
crlibreall	ND	./api/contrib/crlibreall/module.php	W2_BUSINESS	P1	not_started	python_api.handlers.crlibreall.ND	tests/fixtures/parity/crlibreall/ND	not_captured	not_cutover	unassigned	
crlibreall	gen_xml_nc	./api/contrib/crlibreall/module.php	W2_BUSINESS	P1	not_started	python_api.handlers.crlibreall.gen_xml_nc	tests/fixtures/parity/crlibreall/gen_xml_nc	not_captured	not_cutover	unassigned	
crypto	desencrypt	./api/modules/crypto/module.php	W1_CORE	P2	not_started	python_api.handlers.crypto.desencrypt	tests/fixtures/parity/crypto/desencrypt	not_captured	not_cutover	unassigned	
crypto	encrypt	./api/modules/crypto/module.php	W1_CORE	P2	not_started	python_api.handlers.crypto.encrypt	tests/fixtures/parity/crypto/encrypt	not_captured	not_cutover	unassigned	
crypto	makeKey	./api/modules/crypto/module.php	W1_CORE	P2	not_started	python_api.handlers.crypto.makeKey	tests/fixtures/parity/crypto/makeKey	not_captured	not_cutover	unassigned	
ejemplo	hola	./api/contrib/ejemplo/module.php	W3_SUPPORT	P2	not_started	python_api.handlers.ejemplo.hola	tests/fixtures/parity/ejemplo/hola	not_captured	not_cutover	unassigned	
ejemplo	un_usuario	./api/contrib/ejemplo/module.php	W3_SUPPORT	P2	not_started	python_api.handlers.ejemplo.un_usuario	tests/fixtures/parity/ejemplo/un_usuario	not_captured	not_cutover	unassigned	
facturador	addInventaryProduct	./api/contrib/facturador/module.php	W2_BUSINESS	P1	not_started	python_api.handlers.facturador.addInventaryProduct	tests/fixtures/parity/facturador/addInventaryProduct	not_captured	not_cutover	unassigned	
facturador	addSucursales	./api/contrib/facturador/module.php	W2_BUSINESS	P1	not_started	python_api.handlers.facturador.addSucursales	tests/fixtures/parity/facturador/addSucursales	not_captured	not_cutover	unassigned	
facturador	add_companny_reciver	./api/contrib/facturador/module.php	W2_BUSINESS	P1	not_started	python_api.handlers.facturador.add_companny_reciver	tests/fixtures/parity/facturador/add_companny_reciver	not_captured	not_cutover	unassigned	
facturador	add_terminal	./api/contrib/facturador/module.php	W2_BUSINESS	P1	not_started	python_api.handlers.facturador.add_terminal	tests/fixtures/parity/facturador/add_terminal	not_captured	not_cutover	unassigned	
facturador	backup_user	./api/contrib/facturador/module.php	W2_BUSINESS	P1	not_started	python_api.handlers.facturador.backup_user	tests/fixtures/parity/facturador/backup_user	not_captured	not_cutover	unassigned	
facturador	compannyUpdateInformation	./api/contrib/facturador/module.php	W2_BUSINESS	P1	not_started	python_api.handlers.facturador.compannyUpdateInformation	tests/fixtures/parity/facturador/compannyUpdateInformation	not_captured	not_cutover	unassigned	
facturador	compannyUpdateLocation	./api/contrib/facturador/module.php	W2_BUSINESS	P1	not_started	python_api.handlers.facturador.compannyUpdateLocation	tests/fixtures/parity/facturador/compannyUpdateLocation	not_captured	not_cutover	unassigned	
facturador	compannyUpdateTipoCambio	./api/contrib/facturador/module.php	W2_BUSINESS	P1	not_started	python_api.handlers.facturador.compannyUpdateTipoCambio	tests/fixtures/parity/facturador/compannyUpdateTipoCambio	not_captured	not_cutover	unassigned	
facturador	companny_add_master_Consecutive	./api/contrib/facturador/module.php	W2_BUSINESS	P1	not_started	python_api.handlers.facturador.companny_add_master_Consecutive	tests/fixtures/parity/facturador/companny_add_master_Consecutive	not_captured	not_cutover	unassigned	
facturador	companny_add_voucher	./api/contrib/facturador/module.php	W2_BUSINESS	P1	not_started	python_api.handlers.facturador.companny_add_voucher	tests/fixtures/parity/facturador/companny_add_voucher	not_captured	not_cutover	unassigned	
facturador	companny_getMyConsecutive	./api/contrib/facturador/module.php	W2_BUSINESS	P1	not_started	python_api.handlers.facturador.companny_getMyConsecutive	tests/fixtures/parity/facturador/companny_getMyConsecutive	not_captured	not_cutover	unassigned	
facturador	companny_getMyInfo	./api/contrib/facturador/module.php	W2_BUSINESS	P1	not_started	python_api.handlers.facturador.companny_getMyInfo	tests/fixtures/parity/facturador/companny_getMyInfo	not_captured	not_cutover	unassigned	
facturador	companny_updateConsecutive	./api/contrib/facturador/module.php	W2_BUSINESS	P1	not_started	python_api.handlers.facturador.companny_updateConsecutive	tests/fixtures/parity/facturador/companny_updateConsecutive	not_captured	not_cutover	unassigned	
facturador	companny_users_getMyDetails	./api/contrib/facturador/module.php	W2_BUSINESS	P1	not_started	python_api.handlers.facturador.companny_users_getMyDetails	tests/fixtures/parity/facturador/companny_users_getMyDetails	not_captured	not_cutover	unassigned	
facturador	companny_users_get_my_details	./api/contrib/facturador/module.php	W2_BUSINESS	P1	not_started	python_api.handlers.facturador.companny_users_get_my_details	tests/fixtures/parity/facturador/companny_users_get_my_details	not_captured	not_cutover	unassigned	
facturador	companny_users_logMeIn	./api/contrib/facturador/module.php	W2_BUSINESS	P1	not_started	python_api.handlers.facturador.companny_users_logMeIn	tests/fixtures/parity/facturador/companny_users_logMeIn	not_captured	not_cutover	unassigned	
facturador	companny_users_recover_pwd	./api/contrib/facturador/module.php	W2_BUSINESS	P1	not_started	python_api.handlers.facturador.companny_users_recover_pwd	tests/fixtures/parity/facturador/companny_users_recover_pwd	not_captured	not_cutover	unassigned	
facturador	companny_users_register	./api/contrib/facturador/module.php	W2_BUSINESS	P1	not_started	python_api.handlers.facturador.companny_users_register	tests/fixtures/parity/facturador/companny_users_register	not_captured	not_cutover	unassigned	
facturador	companny_users_update_profile	./api/contrib/facturador/module.php	W2_BUSINESS	P1	not_started	python_api.handlers.facturador.companny_users_update_profile	tests/fixtures/parity/facturador/companny_users_update_profile	not_captured	not_cutover	unassigned	
facturador	company_change_env	./api/contrib/facturador/module.php	W2_BUSINESS	P1	not_started	python_api.handlers.facturador.company_change_env	tests/fixtures/parity/facturador/company_change_env	not_captured	not_cutover	unassigned	
facturador	company_get_env	./api/contrib/facturador/module.php	W2_BUSINESS	P1	not_started	python_api.handlers.facturador.company_get_env	tests/fixtures/parity/facturador/company_get_env	not_captured	not_cutover	unassigned	
facturador	company_get_env	./api/contrib/facturador/module.php	W2_BUSINESS	P1	not_started	python_api.handlers.facturador.company_get_env	tests/fixtures/parity/facturador/company_get_env	not_captured	not_cutover	unassigned	
facturador	company_prod_users	./api/contrib/facturador/module.php	W2_BUSINESS	P1	not_started	python_api.handlers.facturador.company_prod_users	tests/fixtures/parity/facturador/company_prod_users	not_captured	not_cutover	unassigned	
facturador	company_stag_users	./api/contrib/facturador/module.php	W2_BUSINESS	P1	not_started	python_api.handlers.facturador.company_stag_users	tests/fixtures/parity/facturador/company_stag_users	not_captured	not_cutover	unassigned	
facturador	copy_master_tables	./api/contrib/facturador/module.php	W2_BUSINESS	P1	not_started	python_api.handlers.facturador.copy_master_tables	tests/fixtures/parity/facturador/copy_master_tables	not_captured	not_cutover	unassigned	
facturador	delete_reciver	./api/contrib/facturador/module.php	W2_BUSINESS	P1	not_started	python_api.handlers.facturador.delete_reciver	tests/fixtures/parity/facturador/delete_reciver	not_captured	not_cutover	unassigned	
facturador	getCompannyLocationInformation	./api/contrib/facturador/module.php	W2_BUSINESS	P1	not_started	python_api.handlers.facturador.getCompannyLocationInformation	tests/fixtures/parity/facturador/getCompannyLocationInformation	not_captured	not_cutover	unassigned	
facturador	getProductByCode	./api/contrib/facturador/module.php	W2_BUSINESS	P1	not_started	python_api.handlers.facturador.getProductByCode	tests/fixtures/parity/facturador/getProductByCode	not_captured	not_cutover	unassigned	
