w	r	wave	priority	status	parity_status	cutover_status	python_handler	parity_fixture	notes
consultar	consultarCom	W1_CORE	P0	in_progress	captured	not_cutover	python_api.handlers.consultar.consultarCom	tests/fixtures/parity/consultar/consultarCom	python_handler_ported_no_parity
firmarXML	firmar	W1_CORE	P0	in_progress	captured	not_cutover	python_api.handlers.firmarXML.firmar	tests/fixtures/parity/firmarXML/firmar	python_handler_native_partial_no_parity
genXML	gen_xml_fe	W1_CORE	P0	in_progress	captured	not_cutover	python_api.handlers.genXML.gen_xml_fe	tests/fixtures/parity/genXML/gen_xml_fe	python_handler_native_partial_no_parity
genXML	gen_xml_fec	W1_CORE	P0	in_progress	captured	not_cutover	python_api.handlers.genXML.gen_xml_fec	tests/fixtures/parity/genXML/gen_xml_fec	python_handler_native_partial_no_parity
genXML	gen_xml_fee	W1_CORE	P0	in_progress	captured	not_cutover	python_api.handlers.genXML.gen_xml_fee	tests/fixtures/parity/genXML/gen_xml_fee	python_handler_native_partial_no_parity
genXML	gen_xml_mr	W1_CORE	P0	in_progress	captured	not_cutover	python_api.handlers.genXML.gen_xml_mr	tests/fixtures/parity/genXML/gen_xml_mr	python_handler_native_partial_no_parity
genXML	gen_xml_nc	W1_CORE	P0	in_progress	captured	not_cutover	python_api.handlers.genXML.gen_xml_nc	tests/fixtures/parity/genXML/gen_xml_nc	python_handler_native_partial_no_parity
genXML	gen_xml_nd	W1_CORE	P0	in_progress	captured	not_cutover	python_api.handlers.genXML.gen_xml_nd	tests/fixtures/parity/genXML/gen_xml_nd	python_handler_native_partial_no_parity
genXML	gen_xml_te	W1_CORE	P0	in_progress	captured	not_cutover	python_api.handlers.genXML.gen_xml_te	tests/fixtures/parity/genXML/gen_xml_te	python_handler_native_partial_no_parity
genXML	test	W1_CORE	P0	in_progress	captured	not_cutover	python_api.handlers.genXML.test	tests/fixtures/parity/genXML/test	python_handler_native_partial_no_parity
send	json	W1_CORE	P0	in_progress	captured	not_cutover	python_api.handlers.send.json	tests/fixtures/parity/send/json	python_handler_native_partial_no_parity
send	sendMensaje	W1_CORE	P0	in_progress	captured	not_cutover	python_api.handlers.send.sendMensaje	tests/fixtures/parity/send/sendMensaje	python_handler_native_partial_no_parity
send	sendTE	W1_CORE	P0	in_progress	captured	not_cutover	python_api.handlers.send.sendTE	tests/fixtures/parity/send/sendTE	python_handler_native_partial_no_parity
