w	r	wave	priority	status	parity_status	cutover_status	python_handler	parity_fixture	notes
facturador	addInventaryProduct	W2_BUSINESS	P1	not_started	captured	not_cutover	python_api.handlers.facturador.addInventaryProduct	tests/fixtures/parity/facturador/addInventaryProduct	
facturador	addSucursales	W2_BUSINESS	P1	not_started	captured	not_cutover	python_api.handlers.facturador.addSucursales	tests/fixtures/parity/facturador/addSucursales	
facturador	add_companny_reciver	W2_BUSINESS	P1	not_started	captured	not_cutover	python_api.handlers.facturador.add_companny_reciver	tests/fixtures/parity/facturador/add_companny_reciver	
facturador	add_terminal	W2_BUSINESS	P1	not_started	captured	not_cutover	python_api.handlers.facturador.add_terminal	tests/fixtures/parity/facturador/add_terminal	
facturador	backup_user	W2_BUSINESS	P1	not_started	captured	not_cutover	python_api.handlers.facturador.backup_user	tests/fixtures/parity/facturador/backup_user	
facturador	compannyUpdateInformation	W2_BUSINESS	P1	not_started	captured	not_cutover	python_api.handlers.facturador.compannyUpdateInformation	tests/fixtures/parity/facturador/compannyUpdateInformation	
facturador	compannyUpdateLocation	W2_BUSINESS	P1	not_started	captured	not_cutover	python_api.handlers.facturador.compannyUpdateLocation	tests/fixtures/parity/facturador/compannyUpdateLocation	
facturador	compannyUpdateTipoCambio	W2_BUSINESS	P1	not_started	captured	not_cutover	python_api.handlers.facturador.compannyUpdateTipoCambio	tests/fixtures/parity/facturador/compannyUpdateTipoCambio	
facturador	companny_add_master_Consecutive	W2_BUSINESS	P1	not_started	captured	not_cutover	python_api.handlers.facturador.companny_add_master_Consecutive	tests/fixtures/parity/facturador/companny_add_master_Consecutive	
facturador	companny_add_voucher	W2_BUSINESS	P1	not_started	captured	not_cutover	python_api.handlers.facturador.companny_add_voucher	tests/fixtures/parity/facturador/companny_add_voucher	
facturador	companny_getMyConsecutive	W2_BUSINESS	P1	not_started	captured	not_cutover	python_api.handlers.facturador.companny_getMyConsecutive	tests/fixtures/parity/facturador/companny_getMyConsecutive	
facturador	companny_getMyInfo	W2_BUSINESS	P1	not_started	captured	not_cutover	python_api.handlers.facturador.companny_getMyInfo	tests/fixtures/parity/facturador/companny_getMyInfo	
facturador	companny_updateConsecutive	W2_BUSINESS	P1	not_started	captured	not_cutover	python_api.handlers.facturador.companny_updateConsecutive	tests/fixtures/parity/facturador/companny_updateConsecutive	
facturador	companny_users_getMyDetails	W2_BUSINESS	P1	not_started	captured	not_cutover	python_api.handlers.facturador.companny_users_getMyDetails	tests/fixtures/parity/facturador/companny_users_getMyDetails	
facturador	companny_users_get_my_details	W2_BUSINESS	P1	not_started	captured	not_cutover	python_api.handlers.facturador.companny_users_get_my_details	tests/fixtures/parity/facturador/companny_users_get_my_details	
facturador	companny_users_logMeIn	W2_BUSINESS	P1	not_started	captured	not_cutover	python_api.handlers.facturador.companny_users_logMeIn	tests/fixtures/parity/facturador/companny_users_logMeIn	
facturador	companny_users_recover_pwd	W2_BUSINESS	P1	not_started	captured	not_cutover	python_api.handlers.facturador.companny_users_recover_pwd	tests/fixtures/parity/facturador/companny_users_recover_pwd	
facturador	companny_users_register	W2_BUSINESS	P1	not_started	captured	not_cutover	python_api.handlers.facturador.companny_users_register	tests/fixtures/parity/facturador/companny_users_register	
facturador	companny_users_update_profile	W2_BUSINESS	P1	not_started	captured	not_cutover	python_api.handlers.facturador.companny_users_update_profile	tests/fixtures/parity/facturador/companny_users_update_profile	
facturador	company_change_env	W2_BUSINESS	P1	not_started	captured	not_cutover	python_api.handlers.facturador.company_change_env	tests/fixtures/parity/facturador/company_change_env	
facturador	company_get_env	W2_BUSINESS	P1	not_started	captured	not_cutover	python_api.handlers.facturador.company_get_env	tests/fixtures/parity/facturador/company_get_env	
facturador	company_get_env	W2_BUSINESS	P1	not_started	captured	not_cutover	python_api.handlers.facturador.company_get_env	tests/fixtures/parity/facturador/company_get_env	
facturador	company_prod_users	W2_BUSINESS	P1	not_started	captured	not_cutover	python_api.handlers.facturador.company_prod_users	tests/fixtures/parity/facturador/company_prod_users	
facturador	company_stag_users	W2_BUSINESS	P1	not_started	captured	not_cutover	python_api.handlers.facturador.company_stag_users	tests/fixtures/parity/facturador/company_stag_users	
