w	r	module_file
XmlToBase64	encode	./api/contrib/XmlToBase64/module.php
cala	cala_core	./api/modules/cala/module.php
cala	cala_default	./api/modules/cala/module.php
cala	cala_test_install	./api/modules/cala/module.php
callback	callback	./api/contrib/callback/module.php
check	checkxml	./api/contrib/check/module.php
clave	clave	./api/contrib/clave/module.php
consultar	consultarCom	./api/contrib/consultar/module.php
crlibreall	FE	./api/contrib/crlibreall/module.php
crlibreall	NC	./api/contrib/crlibreall/module.php
crlibreall	ND	./api/contrib/crlibreall/module.php
crlibreall	gen_xml_nc	./api/contrib/crlibreall/module.php
crypto	desencrypt	./api/modules/crypto/module.php
crypto	encrypt	./api/modules/crypto/module.php
crypto	makeKey	./api/modules/crypto/module.php
ejemplo	hola	./api/contrib/ejemplo/module.php
ejemplo	un_usuario	./api/contrib/ejemplo/module.php
facturador	addInventaryProduct	./api/contrib/facturador/module.php
facturador	addSucursales	./api/contrib/facturador/module.php
facturador	add_companny_reciver	./api/contrib/facturador/module.php
facturador	add_terminal	./api/contrib/facturador/module.php
facturador	backup_user	./api/contrib/facturador/module.php
facturador	compannyUpdateInformation	./api/contrib/facturador/module.php
facturador	compannyUpdateLocation	./api/contrib/facturador/module.php
facturador	compannyUpdateTipoCambio	./api/contrib/facturador/module.php
facturador	companny_add_master_Consecutive	./api/contrib/facturador/module.php
facturador	companny_add_voucher	./api/contrib/facturador/module.php
facturador	companny_getMyConsecutive	./api/contrib/facturador/module.php
facturador	companny_getMyInfo	./api/contrib/facturador/module.php
facturador	companny_updateConsecutive	./api/contrib/facturador/module.php
facturador	companny_users_getMyDetails	./api/contrib/facturador/module.php
facturador	companny_users_get_my_details	./api/contrib/facturador/module.php
facturador	companny_users_logMeIn	./api/contrib/facturador/module.php
facturador	companny_users_recover_pwd	./api/contrib/facturador/module.php
facturador	companny_users_register	./api/contrib/facturador/module.php
facturador	companny_users_update_profile	./api/contrib/facturador/module.php
facturador	company_change_env	./api/contrib/facturador/module.php
facturador	company_get_env	./api/contrib/facturador/module.php
facturador	company_get_env	./api/contrib/facturador/module.php
facturador	company_prod_users	./api/contrib/facturador/module.php
facturador	company_stag_users	./api/contrib/facturador/module.php
facturador	copy_master_tables	./api/contrib/facturador/module.php
facturador	delete_reciver	./api/contrib/facturador/module.php
facturador	getCompannyLocationInformation	./api/contrib/facturador/module.php
facturador	getProductByCode	./api/contrib/facturador/module.php
facturador	getSucursales	./api/contrib/facturador/module.php
facturador	getTerminales	./api/contrib/facturador/module.php
facturador	getUnid	./api/contrib/facturador/module.php
facturador	getUserPermissionById	./api/contrib/facturador/module.php
facturador	getUsersCompanny	./api/contrib/facturador/module.php
facturador	get_active_receiver	./api/contrib/facturador/module.php
facturador	get_all_privinces	./api/contrib/facturador/module.php
facturador	get_cantons	./api/contrib/facturador/module.php
facturador	get_companny_information	./api/contrib/facturador/module.php
facturador	get_companny_information_admin	./api/contrib/facturador/module.php
facturador	get_district	./api/contrib/facturador/module.php
facturador	get_inventory	./api/contrib/facturador/module.php
facturador	get_neighborhood	./api/contrib/facturador/module.php
facturador	get_prod_companny_credentials	./api/contrib/facturador/module.php
facturador	get_prod_credentials	./api/contrib/facturador/module.php
facturador	get_receiver_by_id	./api/contrib/facturador/module.php
facturador	get_stag_companny_credentials	./api/contrib/facturador/module.php
facturador	get_stag_credentials	./api/contrib/facturador/module.php
facturador	get_tipo_impuesto	./api/contrib/facturador/module.php
facturador	get_type_of_id	./api/contrib/facturador/module.php
facturador	get_vouchers	./api/contrib/facturador/module.php
facturador	info	./api/contrib/facturador/module.php
facturador	inser_to_log_table	./api/contrib/facturador/module.php
facturador	users_log_me_out	./api/contrib/facturador/module.php
fileUploader	subir_certif	./api/contrib/fileUploader/module.php
fileUploader	subir_xml	./api/contrib/fileUploader/module.php
fileUploader	test	./api/contrib/fileUploader/module.php
files	filesGetUrl	./api/modules/files/module.php
files	files_view_file	./api/modules/files/module.php
files	upload	./api/modules/files/module.php
firmarXML	firmar	./api/contrib/firmarXML/module.php
genXML	gen_xml_fe	./api/contrib/genXML/module.php
genXML	gen_xml_fec	./api/contrib/genXML/module.php
genXML	gen_xml_fee	./api/contrib/genXML/module.php
genXML	gen_xml_mr	./api/contrib/genXML/module.php
genXML	gen_xml_nc	./api/contrib/genXML/module.php
genXML	gen_xml_nd	./api/contrib/genXML/module.php
genXML	gen_xml_rep	./api/contrib/genXML/module.php
genXML	gen_xml_te	./api/contrib/genXML/module.php
genXML	test	./api/contrib/genXML/module.php
geoloc	geoloc_create_tables	./api/modules/geoloc/module.php
geoloc	geoloc_get_by_ip	./api/modules/geoloc/module.php
geoloc	geoloc_load_blocks	./api/modules/geoloc/module.php
geoloc	geoloc_load_locations	./api/modules/geoloc/module.php
makeJson	makeJson	./api/contrib/makeJson/module.php
makeQR	makeQR	./api/contrib/makeQR/module.php
send	json	./api/contrib/send/module.php
send	sendMensaje	./api/contrib/send/module.php
send	sendTE	./api/contrib/send/module.php
sendMail	sendmail	./api/contrib/sendMail/module.php
signXML	signFE	./api/contrib/signXML/module.php
token	gettoken	./api/contrib/token/module.php
token	refresh	./api/contrib/token/module.php
users	login_auto	./api/modules/users/module.php
users	users_avatar_get	./api/modules/users/module.php
users	users_avatar_upload	./api/modules/users/module.php
users	users_confirm_session_vilidity	./api/modules/users/module.php
users	users_get_list	./api/modules/users/module.php
users	users_get_my_details	./api/modules/users/module.php
users	users_log_me_in	./api/modules/users/module.php
users	users_log_me_out	./api/modules/users/module.php
users	users_personal_bg_get	./api/modules/users/module.php
users	users_personal_bg_upload	./api/modules/users/module.php
users	users_recover_pwd	./api/modules/users/module.php
users	users_register	./api/modules/users/module.php
users	users_update_profile	./api/modules/users/module.php
version	version	./api/contrib/version/module.php
wirez	conversations_get_details	./api/modules/wirez/module.php
wirez	messages_get_in_conversation	./api/modules/wirez/module.php
wirez	messages_get_recent	./api/modules/wirez/module.php
wirez	messages_send	./api/modules/wirez/module.php
