w	r	wave	priority	status	parity_status	cutover_status	python_handler	parity_fixture	notes
clave	clave	W1_CORE	P0	completed	passed	cutover	python_api.handlers.clave.clave	tests/fixtures/parity/clave/clave	python_handler_ported_no_parity;canary_block_1_passed_2026-02-12_cutover_local
consultar	consultarCom	W1_CORE	P0	completed	passed	cutover	python_api.handlers.consultar.consultarCom	tests/fixtures/parity/consultar/consultarCom	python_handler_ported_no_parity;canary_block_3_passed_2026-02-12_cutover_local
firmarXML	firmar	W1_CORE	P0	completed	passed	cutover	python_api.handlers.firmarXML.firmar	tests/fixtures/parity/firmarXML/firmar	python_handler_native_partial_no_parity;canary_block_3_passed_2026-02-12_cutover_local
genXML	gen_xml_fe	W1_CORE	P0	completed	passed	cutover	python_api.handlers.genXML.gen_xml_fe	tests/fixtures/parity/genXML/gen_xml_fe	python_handler_native_partial_no_parity;canary_block_3_passed_2026-02-12_cutover_local
genXML	gen_xml_fec	W1_CORE	P0	completed	passed	cutover	python_api.handlers.genXML.gen_xml_fec	tests/fixtures/parity/genXML/gen_xml_fec	python_handler_native_partial_no_parity;canary_block_3_passed_2026-02-12_cutover_local
genXML	gen_xml_fee	W1_CORE	P0	completed	passed	cutover	python_api.handlers.genXML.gen_xml_fee	tests/fixtures/parity/genXML/gen_xml_fee	python_handler_native_partial_no_parity;canary_block_3_passed_2026-02-12_cutover_local
genXML	gen_xml_mr	W1_CORE	P0	completed	passed	cutover	python_api.handlers.genXML.gen_xml_mr	tests/fixtures/parity/genXML/gen_xml_mr	python_handler_native_partial_no_parity;canary_block_3_passed_2026-02-12_cutover_local
genXML	gen_xml_nc	W1_CORE	P0	completed	passed	cutover	python_api.handlers.genXML.gen_xml_nc	tests/fixtures/parity/genXML/gen_xml_nc	python_handler_native_partial_no_parity;canary_block_3_passed_2026-02-12_cutover_local
genXML	gen_xml_nd	W1_CORE	P0	completed	passed	cutover	python_api.handlers.genXML.gen_xml_nd	tests/fixtures/parity/genXML/gen_xml_nd	python_handler_native_partial_no_parity;canary_block_3_passed_2026-02-12_cutover_local
genXML	gen_xml_rep	W1_CORE	P0	completed	python_only_v44_captured	cutover	python_api.handlers.genXML.gen_xml_rep	tests/fixtures/parity/genXML/gen_xml_rep	additive_v44_route_no_php_baseline
genXML	gen_xml_te	W1_CORE	P0	completed	passed	cutover	python_api.handlers.genXML.gen_xml_te	tests/fixtures/parity/genXML/gen_xml_te	python_handler_native_partial_no_parity;canary_block_3_passed_2026-02-12_cutover_local
genXML	test	W1_CORE	P0	completed	passed	cutover	python_api.handlers.genXML.test	tests/fixtures/parity/genXML/test	python_handler_native_partial_no_parity;canary_block_3_passed_2026-02-12_cutover_local
send	json	W1_CORE	P0	completed	passed	cutover	python_api.handlers.send.json	tests/fixtures/parity/send/json	python_handler_native_partial_no_parity;canary_block_3_passed_2026-02-12_cutover_local
send	sendMensaje	W1_CORE	P0	completed	passed	cutover	python_api.handlers.send.sendMensaje	tests/fixtures/parity/send/sendMensaje	python_handler_native_partial_no_parity;canary_block_3_passed_2026-02-12_cutover_local
send	sendTE	W1_CORE	P0	completed	passed	cutover	python_api.handlers.send.sendTE	tests/fixtures/parity/send/sendTE	python_handler_native_partial_no_parity;canary_block_3_passed_2026-02-12_cutover_local
token	gettoken	W1_CORE	P0	completed	passed	cutover	python_api.handlers.token.gettoken	tests/fixtures/parity/token/gettoken	python_handler_ported_no_parity;canary_block_1_passed_2026-02-12_cutover_local
token	refresh	W1_CORE	P0	completed	passed	cutover	python_api.handlers.token.refresh	tests/fixtures/parity/token/refresh	python_handler_ported_no_parity;canary_block_1_passed_2026-02-12_cutover_local
users	login_auto	W1_CORE	P0	completed	passed	cutover	python_api.handlers.users.login_auto	tests/fixtures/parity/users/login_auto	python_handler_ported_no_parity;canary_block_2_passed_2026-02-12_cutover_local
