w	r	scenario	pass	baseline_status	candidate_status	match_type	details
cala	cala_core	success	true	200	200	exact	
cala	cala_core	validation_error	true	200	200	exact	
cala	cala_core	auth_error	true	200	200	exact	
cala	cala_core	malformed	true	200	200	exact	
cala	cala_default	success	true	200	200	exact	
cala	cala_default	validation_error	true	200	200	exact	
cala	cala_default	auth_error	true	200	200	exact	
cala	cala_default	malformed	true	200	200	exact	
cala	cala_test_install	success	true	200	200	json_equivalent	
cala	cala_test_install	validation_error	true	200	200	json_equivalent	
cala	cala_test_install	auth_error	true	200	200	json_equivalent	
cala	cala_test_install	malformed	true	200	200	json_equivalent	
crypto	desencrypt	success	true	403	403	exact	
crypto	desencrypt	validation_error	true	403	403	exact	
crypto	desencrypt	auth_error	true	403	403	exact	
crypto	desencrypt	malformed	true	403	403	exact	
crypto	encrypt	success	true	200	200	exact	
crypto	encrypt	validation_error	true	200	200	exact	
crypto	encrypt	auth_error	true	200	200	exact	
crypto	encrypt	malformed	true	200	200	exact	
crypto	makeKey	success	true	200	200	makekey_equivalent	
crypto	makeKey	validation_error	true	200	200	makekey_equivalent	
crypto	makeKey	auth_error	true	200	200	makekey_equivalent	
crypto	makeKey	malformed	true	200	200	makekey_equivalent	
files	filesGetUrl	success	true	200	200	exact	
files	filesGetUrl	validation_error	true	200	200	exact	
files	filesGetUrl	auth_error	true	200	200	exact	
files	filesGetUrl	malformed	true	200	200	exact	
files	files_view_file	success	true	200	200	exact	
files	files_view_file	validation_error	true	200	200	exact	
files	files_view_file	auth_error	true	200	200	exact	
files	files_view_file	malformed	true	200	200	exact	
files	upload	success	true	200	200	exact	
files	upload	validation_error	true	200	200	exact	
files	upload	auth_error	true	200	200	exact	
files	upload	malformed	true	200	200	exact	
