w	r	scenario	pass	baseline_status	candidate_status	match_type	details
facturador	addInventaryProduct	success	true	200	200	exact	
facturador	addInventaryProduct	validation_error	true	200	200	exact	
facturador	addInventaryProduct	auth_error	true	200	200	exact	
facturador	addInventaryProduct	malformed	true	200	200	exact	
facturador	addSucursales	success	true	200	200	exact	
facturador	addSucursales	validation_error	true	200	200	exact	
facturador	addSucursales	auth_error	true	200	200	exact	
facturador	addSucursales	malformed	true	200	200	exact	
facturador	add_companny_reciver	success	true	200	200	exact	
facturador	add_companny_reciver	validation_error	true	200	200	exact	
facturador	add_companny_reciver	auth_error	true	200	200	exact	
facturador	add_companny_reciver	malformed	true	200	200	exact	
facturador	add_terminal	success	true	200	200	exact	
facturador	add_terminal	validation_error	true	200	200	exact	
facturador	add_terminal	auth_error	true	200	200	exact	
facturador	add_terminal	malformed	true	200	200	exact	
facturador	backup_user	success	true	403	403	exact	
facturador	backup_user	validation_error	true	403	403	exact	
facturador	backup_user	auth_error	true	403	403	exact	
facturador	backup_user	malformed	true	403	403	exact	
facturador	compannyUpdateInformation	success	true	200	200	exact	
facturador	compannyUpdateInformation	validation_error	true	200	200	exact	
facturador	compannyUpdateInformation	auth_error	true	200	200	exact	
facturador	compannyUpdateInformation	malformed	true	200	200	exact	
facturador	compannyUpdateLocation	success	true	200	200	exact	
facturador	compannyUpdateLocation	validation_error	true	200	200	exact	
facturador	compannyUpdateLocation	auth_error	true	200	200	exact	
facturador	compannyUpdateLocation	malformed	true	200	200	exact	
facturador	compannyUpdateTipoCambio	success	true	200	200	exact	
facturador	compannyUpdateTipoCambio	validation_error	true	200	200	exact	
facturador	compannyUpdateTipoCambio	auth_error	true	200	200	exact	
facturador	compannyUpdateTipoCambio	malformed	true	200	200	exact	
facturador	companny_add_master_Consecutive	success	true	200	200	exact	
facturador	companny_add_master_Consecutive	validation_error	true	200	200	exact	
facturador	companny_add_master_Consecutive	auth_error	true	200	200	exact	
facturador	companny_add_master_Consecutive	malformed	true	200	200	exact	
facturador	companny_add_voucher	success	true	200	200	exact	
facturador	companny_add_voucher	validation_error	true	200	200	exact	
facturador	companny_add_voucher	auth_error	true	200	200	exact	
facturador	companny_add_voucher	malformed	true	200	200	exact	
facturador	companny_getMyConsecutive	success	true	200	200	exact	
facturador	companny_getMyConsecutive	validation_error	true	200	200	exact	
facturador	companny_getMyConsecutive	auth_error	true	200	200	exact	
