w	r	scenario	pass	baseline_status	candidate_status	match_type	details
XmlToBase64	encode	success	true	200	200	exact	
XmlToBase64	encode	validation_error	true	200	200	exact	
XmlToBase64	encode	auth_error	true	200	200	exact	
XmlToBase64	encode	malformed	true	200	200	exact	
callback	callback	success	true	200	200	exact	
callback	callback	validation_error	true	200	200	exact	
callback	callback	auth_error	true	200	200	exact	
callback	callback	malformed	true	200	200	exact	
check	checkxml	success	true	200	200	exact	
check	checkxml	validation_error	true	200	200	exact	
check	checkxml	auth_error	true	200	200	exact	
check	checkxml	malformed	true	200	200	exact	
crlibreall	FE	success	true	200	200	exact	
crlibreall	FE	validation_error	true	200	200	exact	
crlibreall	FE	auth_error	true	200	200	exact	
crlibreall	FE	malformed	true	200	200	exact	
crlibreall	NC	success	true	200	200	exact	
crlibreall	NC	validation_error	true	200	200	exact	
crlibreall	NC	auth_error	true	200	200	exact	
crlibreall	NC	malformed	true	200	200	exact	
crlibreall	ND	success	true	200	200	exact	
crlibreall	ND	validation_error	true	200	200	exact	
crlibreall	ND	auth_error	true	200	200	exact	
crlibreall	ND	malformed	true	200	200	exact	
crlibreall	gen_xml_nc	success	true	200	200	exact	
crlibreall	gen_xml_nc	validation_error	true	200	200	exact	
crlibreall	gen_xml_nc	auth_error	true	200	200	exact	
crlibreall	gen_xml_nc	malformed	true	200	200	exact	
ejemplo	hola	success	true	200	200	exact	
ejemplo	hola	validation_error	true	200	200	exact	
ejemplo	hola	auth_error	true	200	200	exact	
ejemplo	hola	malformed	true	200	200	exact	
ejemplo	un_usuario	success	true	200	200	exact	
ejemplo	un_usuario	validation_error	true	200	200	exact	
ejemplo	un_usuario	auth_error	true	200	200	exact	
ejemplo	un_usuario	malformed	true	200	200	exact	
fileUploader	subir_certif	success	true	403	403	exact	
fileUploader	subir_certif	validation_error	true	403	403	exact	
fileUploader	subir_certif	auth_error	true	403	403	exact	
fileUploader	subir_certif	malformed	true	403	403	exact	
fileUploader	subir_xml	success	true	403	403	exact	
fileUploader	subir_xml	validation_error	true	403	403	exact	
fileUploader	subir_xml	auth_error	true	403	403	exact	
fileUploader	subir_xml	malformed	true	403	403	exact	
fileUploader	test	success	true	200	200	exact	
fileUploader	test	validation_error	true	200	200	exact	
fileUploader	test	auth_error	true	200	200	exact	
fileUploader	test	malformed	true	200	200	exact	
geoloc	geoloc_create_tables	success	true	200	200	exact	
geoloc	geoloc_create_tables	validation_error	true	200	200	exact	
geoloc	geoloc_create_tables	auth_error	true	200	200	exact	
geoloc	geoloc_create_tables	malformed	true	200	200	exact	
geoloc	geoloc_get_by_ip	success	true	200	200	exact	
geoloc	geoloc_get_by_ip	validation_error	true	200	200	exact	
geoloc	geoloc_get_by_ip	auth_error	true	200	200	exact	
geoloc	geoloc_get_by_ip	malformed	true	200	200	exact	
geoloc	geoloc_load_blocks	success	true	200	200	exact	
geoloc	geoloc_load_blocks	validation_error	true	200	200	exact	
geoloc	geoloc_load_blocks	auth_error	true	200	200	exact	
geoloc	geoloc_load_blocks	malformed	true	200	200	exact	
geoloc	geoloc_load_locations	success	true	200	200	exact	
geoloc	geoloc_load_locations	validation_error	true	200	200	exact	
geoloc	geoloc_load_locations	auth_error	true	200	200	exact	
geoloc	geoloc_load_locations	malformed	true	200	200	exact	
makeJson	makeJson	success	true	200	200	exact	
makeJson	makeJson	validation_error	true	200	200	exact	
makeJson	makeJson	auth_error	true	200	200	exact	
makeJson	makeJson	malformed	true	200	200	exact	
makeQR	makeQR	success	true	200	200	exact	
makeQR	makeQR	validation_error	true	200	200	exact	
makeQR	makeQR	auth_error	true	200	200	exact	
makeQR	makeQR	malformed	true	200	200	exact	
sendMail	sendmail	success	true	200	200	exact	
sendMail	sendmail	validation_error	true	200	200	exact	
sendMail	sendmail	auth_error	true	200	200	exact	
sendMail	sendmail	malformed	true	200	200	exact	
signXML	signFE	success	true	200	200	exact	
signXML	signFE	validation_error	true	200	200	exact	
signXML	signFE	auth_error	true	200	200	exact	
signXML	signFE	malformed	true	200	200	exact	
version	version	success	true	200	200	exact	
version	version	validation_error	true	200	200	exact	
version	version	auth_error	true	200	200	exact	
version	version	malformed	true	200	200	exact	
wirez	conversations_get_details	success	true	403	403	exact	
wirez	conversations_get_details	validation_error	true	403	403	exact	
wirez	conversations_get_details	auth_error	true	403	403	exact	
wirez	conversations_get_details	malformed	true	403	403	exact	
wirez	messages_get_in_conversation	success	true	200	200	exact	
wirez	messages_get_in_conversation	validation_error	true	200	200	exact	
wirez	messages_get_in_conversation	auth_error	true	200	200	exact	
wirez	messages_get_in_conversation	malformed	true	200	200	exact	
wirez	messages_get_recent	success	true	403	403	exact	
wirez	messages_get_recent	validation_error	true	403	403	exact	
wirez	messages_get_recent	auth_error	true	403	403	exact	
wirez	messages_get_recent	malformed	true	403	403	exact	
wirez	messages_send	success	true	200	200	exact	
wirez	messages_send	validation_error	true	200	200	exact	
wirez	messages_send	auth_error	true	200	200	exact	
wirez	messages_send	malformed	true	200	200	exact	
