w	r	scenario	pass	baseline_status	candidate_status	match_type	details
check	checkxml	success	true	200	200	exact	
check	checkxml	validation_error	true	200	200	exact	
check	checkxml	auth_error	true	200	200	exact	
check	checkxml	malformed	true	200	200	exact	
crlibreall	FE	success	true	200	200	exact	
crlibreall	FE	validation_error	true	200	200	exact	
crlibreall	FE	auth_error	true	200	200	exact	
crlibreall	FE	malformed	true	200	200	exact	
crlibreall	NC	success	true	200	200	exact	
crlibreall	NC	validation_error	true	200	200	exact	
crlibreall	NC	auth_error	true	200	200	exact	
crlibreall	NC	malformed	true	200	200	exact	
crlibreall	ND	success	true	200	200	exact	
crlibreall	ND	validation_error	true	200	200	exact	
crlibreall	ND	auth_error	true	200	200	exact	
crlibreall	ND	malformed	true	200	200	exact	
ejemplo	un_usuario	success	true	200	200	exact	
ejemplo	un_usuario	validation_error	true	200	200	exact	
ejemplo	un_usuario	auth_error	true	200	200	exact	
ejemplo	un_usuario	malformed	true	200	200	exact	
sendMail	sendmail	success	true	200	200	exact	
sendMail	sendmail	validation_error	true	200	200	exact	
sendMail	sendmail	auth_error	true	200	200	exact	
sendMail	sendmail	malformed	true	200	200	exact	
signXML	signFE	success	true	200	200	exact	
signXML	signFE	validation_error	true	200	200	exact	
signXML	signFE	auth_error	true	200	200	exact	
signXML	signFE	malformed	true	200	200	exact	
