w	r	scenario	pass	baseline_status	candidate_status	match_type	details
XmlToBase64	encode	success	true	200	200	exact	
XmlToBase64	encode	validation_error	true	200	200	exact	
XmlToBase64	encode	auth_error	true	200	200	exact	
XmlToBase64	encode	malformed	true	200	200	exact	
cala	cala_core	success	true	200	200	exact	
cala	cala_core	validation_error	true	200	200	exact	
cala	cala_core	auth_error	true	200	200	exact	
cala	cala_core	malformed	true	200	200	exact	
cala	cala_default	success	true	200	200	exact	
cala	cala_default	validation_error	true	200	200	exact	
cala	cala_default	auth_error	true	200	200	exact	
cala	cala_default	malformed	true	200	200	exact	
cala	cala_test_install	success	true	200	200	json_equivalent	
cala	cala_test_install	validation_error	true	200	200	json_equivalent	
cala	cala_test_install	auth_error	true	200	200	json_equivalent	
cala	cala_test_install	malformed	true	200	200	json_equivalent	
callback	callback	success	true	200	200	exact	
callback	callback	validation_error	true	200	200	exact	
callback	callback	auth_error	true	200	200	exact	
callback	callback	malformed	true	200	200	exact	
check	checkxml	success	true	200	200	exact	
check	checkxml	validation_error	true	200	200	exact	
check	checkxml	auth_error	true	200	200	exact	
check	checkxml	malformed	true	200	200	exact	
clave	clave	success	true	200	200	exact	
clave	clave	validation_error	true	200	200	exact	
clave	clave	auth_error	true	200	200	exact	
clave	clave	malformed	true	200	200	exact	
consultar	consultarCom	success	true	200	200	exact	
consultar	consultarCom	validation_error	true	200	200	exact	
consultar	consultarCom	auth_error	true	200	200	exact	
consultar	consultarCom	malformed	true	200	200	exact	
crlibreall	FE	success	true	200	200	exact	
crlibreall	FE	validation_error	true	200	200	exact	
crlibreall	FE	auth_error	true	200	200	exact	
crlibreall	FE	malformed	true	200	200	exact	
crlibreall	NC	success	true	200	200	exact	
crlibreall	NC	validation_error	true	200	200	exact	
crlibreall	NC	auth_error	true	200	200	exact	
crlibreall	NC	malformed	true	200	200	exact	
crlibreall	ND	success	true	200	200	exact	
crlibreall	ND	validation_error	true	200	200	exact	
crlibreall	ND	auth_error	true	200	200	exact	
crlibreall	ND	malformed	true	200	200	exact	
crlibreall	gen_xml_nc	success	true	200	200	exact	
crlibreall	gen_xml_nc	validation_error	true	200	200	exact	
crlibreall	gen_xml_nc	auth_error	true	200	200	exact	
crlibreall	gen_xml_nc	malformed	true	200	200	exact	
crypto	desencrypt	success	true	403	403	exact	
crypto	desencrypt	validation_error	true	403	403	exact	
crypto	desencrypt	auth_error	true	403	403	exact	
crypto	desencrypt	malformed	true	403	403	exact	
crypto	encrypt	success	true	200	200	exact	
crypto	encrypt	validation_error	true	200	200	exact	
crypto	encrypt	auth_error	true	200	200	exact	
crypto	encrypt	malformed	true	200	200	exact	
crypto	makeKey	success	true	200	200	makekey_equivalent	
crypto	makeKey	validation_error	true	200	200	makekey_equivalent	
crypto	makeKey	auth_error	true	200	200	makekey_equivalent	
crypto	makeKey	malformed	true	200	200	makekey_equivalent	
ejemplo	hola	success	true	200	200	exact	
ejemplo	hola	validation_error	true	200	200	exact	
ejemplo	hola	auth_error	true	200	200	exact	
ejemplo	hola	malformed	true	200	200	exact	
ejemplo	un_usuario	success	true	200	200	exact	
ejemplo	un_usuario	validation_error	true	200	200	exact	
ejemplo	un_usuario	auth_error	true	200	200	exact	
ejemplo	un_usuario	malformed	true	200	200	exact	
facturador	addInventaryProduct	success	true	200	200	exact	
facturador	addInventaryProduct	validation_error	true	200	200	exact	
facturador	addInventaryProduct	auth_error	true	200	200	exact	
facturador	addInventaryProduct	malformed	true	200	200	exact	
facturador	addSucursales	success	true	200	200	exact	
facturador	addSucursales	validation_error	true	200	200	exact	
facturador	addSucursales	auth_error	true	200	200	exact	
facturador	addSucursales	malformed	true	200	200	exact	
facturador	add_companny_reciver	success	true	200	200	exact	
facturador	add_companny_reciver	validation_error	true	200	200	exact	
facturador	add_companny_reciver	auth_error	true	200	200	exact	
facturador	add_companny_reciver	malformed	true	200	200	exact	
facturador	add_terminal	success	true	200	200	exact	
facturador	add_terminal	validation_error	true	200	200	exact	
facturador	add_terminal	auth_error	true	200	200	exact	
facturador	add_terminal	malformed	true	200	200	exact	
facturador	backup_user	success	true	403	403	exact	
facturador	backup_user	validation_error	true	403	403	exact	
facturador	backup_user	auth_error	true	403	403	exact	
facturador	backup_user	malformed	true	403	403	exact	
facturador	compannyUpdateInformation	success	true	200	200	exact	
facturador	compannyUpdateInformation	validation_error	true	200	200	exact	
facturador	compannyUpdateInformation	auth_error	true	200	200	exact	
facturador	compannyUpdateInformation	malformed	true	200	200	exact	
facturador	compannyUpdateLocation	success	true	200	200	exact	
facturador	compannyUpdateLocation	validation_error	true	200	200	exact	
facturador	compannyUpdateLocation	auth_error	true	200	200	exact	
facturador	compannyUpdateLocation	malformed	true	200	200	exact	
facturador	compannyUpdateTipoCambio	success	true	200	200	exact	
facturador	compannyUpdateTipoCambio	validation_error	true	200	200	exact	
