w	r	scenario	pass	baseline_status	candidate_status	match_type	details
clave	clave	success	true	200	200	exact	
clave	clave	validation_error	true	200	200	exact	
clave	clave	auth_error	true	200	200	exact	
clave	clave	malformed	true	200	200	exact	
consultar	consultarCom	success	true	200	200	exact	
consultar	consultarCom	validation_error	true	200	200	exact	
consultar	consultarCom	auth_error	true	200	200	exact	
consultar	consultarCom	malformed	true	200	200	exact	
firmarXML	firmar	success	true	200	200	exact	
firmarXML	firmar	validation_error	true	200	200	exact	
firmarXML	firmar	auth_error	true	200	200	exact	
firmarXML	firmar	malformed	true	200	200	exact	
genXML	gen_xml_fe	success	true	200	200	exact	
genXML	gen_xml_fe	validation_error	true	200	200	exact	
genXML	gen_xml_fe	auth_error	true	200	200	exact	
genXML	gen_xml_fe	malformed	true	200	200	exact	
genXML	gen_xml_fec	success	true	200	200	exact	
genXML	gen_xml_fec	validation_error	true	200	200	exact	
genXML	gen_xml_fec	auth_error	true	200	200	exact	
genXML	gen_xml_fec	malformed	true	200	200	exact	
genXML	gen_xml_fee	success	true	200	200	exact	
genXML	gen_xml_fee	validation_error	true	200	200	exact	
genXML	gen_xml_fee	auth_error	true	200	200	exact	
genXML	gen_xml_fee	malformed	true	200	200	exact	
genXML	gen_xml_mr	success	true	200	200	exact	
genXML	gen_xml_mr	validation_error	true	200	200	exact	
genXML	gen_xml_mr	auth_error	true	200	200	exact	
genXML	gen_xml_mr	malformed	true	200	200	exact	
genXML	gen_xml_nc	success	true	200	200	exact	
genXML	gen_xml_nc	validation_error	true	200	200	exact	
genXML	gen_xml_nc	auth_error	true	200	200	exact	
genXML	gen_xml_nc	malformed	true	200	200	exact	
genXML	gen_xml_nd	success	true	200	200	exact	
genXML	gen_xml_nd	validation_error	true	200	200	exact	
genXML	gen_xml_nd	auth_error	true	200	200	exact	
genXML	gen_xml_nd	malformed	true	200	200	exact	
genXML	gen_xml_te	success	true	200	200	exact	
genXML	gen_xml_te	validation_error	true	200	200	exact	
genXML	gen_xml_te	auth_error	true	200	200	exact	
genXML	gen_xml_te	malformed	true	200	200	exact	
genXML	test	success	true	200	200	exact	
genXML	test	validation_error	true	200	200	exact	
genXML	test	auth_error	true	200	200	exact	
genXML	test	malformed	true	200	200	exact	
send	json	success	true	200	200	exact	
send	json	validation_error	true	200	200	exact	
send	json	auth_error	true	200	200	exact	
send	json	malformed	true	200	200	exact	
send	sendMensaje	success	true	200	200	exact	
send	sendMensaje	validation_error	true	200	200	exact	
send	sendMensaje	auth_error	true	200	200	exact	
send	sendMensaje	malformed	true	200	200	exact	
send	sendTE	success	true	200	200	exact	
send	sendTE	validation_error	true	200	200	exact	
send	sendTE	auth_error	true	200	200	exact	
send	sendTE	malformed	true	200	200	exact	
token	gettoken	success	true	200	200	exact	
token	gettoken	validation_error	true	200	200	exact	
token	gettoken	auth_error	true	200	200	exact	
token	gettoken	malformed	true	200	200	exact	
token	refresh	success	true	200	200	exact	
token	refresh	validation_error	true	200	200	exact	
token	refresh	auth_error	true	200	200	exact	
token	refresh	malformed	true	200	200	exact	
users	login_auto	success	true	200	200	exact	
users	login_auto	validation_error	true	200	200	exact	
users	login_auto	auth_error	true	200	200	exact	
users	login_auto	malformed	true	200	200	exact	
users	users_avatar_get	success	true	200	200	exact	
users	users_avatar_get	validation_error	true	200	200	exact	
users	users_avatar_get	auth_error	true	200	200	exact	
users	users_avatar_get	malformed	true	200	200	exact	
users	users_avatar_upload	success	true	403	403	exact	
users	users_avatar_upload	validation_error	true	403	403	exact	
users	users_avatar_upload	auth_error	true	403	403	exact	
users	users_avatar_upload	malformed	true	403	403	exact	
users	users_confirm_session_vilidity	success	true	403	403	exact	
users	users_confirm_session_vilidity	validation_error	true	403	403	exact	
users	users_confirm_session_vilidity	auth_error	true	403	403	exact	
users	users_confirm_session_vilidity	malformed	true	403	403	exact	
users	users_get_list	success	true	403	403	exact	
users	users_get_list	validation_error	true	403	403	exact	
users	users_get_list	auth_error	true	403	403	exact	
users	users_get_list	malformed	true	403	403	exact	
users	users_get_my_details	success	true	403	403	exact	
users	users_get_my_details	validation_error	true	403	403	exact	
users	users_get_my_details	auth_error	true	403	403	exact	
users	users_get_my_details	malformed	true	403	403	exact	
users	users_log_me_in	success	true	200	200	exact	
users	users_log_me_in	validation_error	true	200	200	exact	
users	users_log_me_in	auth_error	true	200	200	exact	
users	users_log_me_in	malformed	true	200	200	exact	
users	users_log_me_out	success	true	403	403	exact	
users	users_log_me_out	validation_error	true	403	403	exact	
users	users_log_me_out	auth_error	true	403	403	exact	
users	users_log_me_out	malformed	true	403	403	exact	
users	users_personal_bg_get	success	true	500	500	exact	
users	users_personal_bg_get	validation_error	true	500	500	exact	
users	users_personal_bg_get	auth_error	true	500	500	exact	
users	users_personal_bg_get	malformed	true	500	500	exact	
users	users_personal_bg_upload	success	true	403	403	exact	
users	users_personal_bg_upload	validation_error	true	403	403	exact	
users	users_personal_bg_upload	auth_error	true	403	403	exact	
users	users_personal_bg_upload	malformed	true	403	403	exact	
users	users_recover_pwd	success	true	200	200	exact	
users	users_recover_pwd	validation_error	true	200	200	exact	
users	users_recover_pwd	auth_error	true	200	200	exact	
users	users_recover_pwd	malformed	true	200	200	exact	
users	users_register	success	true	200	200	exact	
users	users_register	validation_error	true	200	200	exact	
users	users_register	auth_error	true	200	200	exact	
users	users_register	malformed	true	200	200	exact	
users	users_update_profile	success	true	403	403	exact	
users	users_update_profile	validation_error	true	403	403	exact	
users	users_update_profile	auth_error	true	403	403	exact	
users	users_update_profile	malformed	true	403	403	exact	
