w	r	module_file	wave	priority	status	python_handler	parity_fixture	parity_status	cutover_status	owner	notes
XmlToBase64	encode	./api/contrib/XmlToBase64/module.php	W3_SUPPORT	P2	completed	python_api.handlers.XmlToBase64.encode	tests/fixtures/parity/XmlToBase64/encode	passed	cutover	unassigned	
cala	cala_core	./api/modules/cala/module.php	W1_CORE	P2	completed	python_api.handlers.cala.cala_core	tests/fixtures/parity/cala/cala_core	passed	cutover	unassigned	python_handler_native_partial_no_parity;canary_block_4_passed_2026-02-12_cutover_local
cala	cala_default	./api/modules/cala/module.php	W1_CORE	P2	completed	python_api.handlers.cala.cala_default	tests/fixtures/parity/cala/cala_default	passed	cutover	unassigned	python_handler_native_partial_no_parity;canary_block_4_passed_2026-02-12_cutover_local
cala	cala_test_install	./api/modules/cala/module.php	W1_CORE	P2	completed	python_api.handlers.cala.cala_test_install	tests/fixtures/parity/cala/cala_test_install	passed	cutover	unassigned	python_handler_native_partial_no_parity;canary_block_4_passed_2026-02-12_cutover_local
callback	callback	./api/contrib/callback/module.php	W3_SUPPORT	P2	completed	python_api.handlers.callback.callback	tests/fixtures/parity/callback/callback	passed	cutover	unassigned	
check	checkxml	./api/contrib/check/module.php	W3_SUPPORT	P2	completed	python_api.handlers.check.checkxml	tests/fixtures/parity/check/checkxml	passed	cutover	unassigned	
clave	clave	./api/contrib/clave/module.php	W1_CORE	P0	completed	python_api.handlers.clave.clave	tests/fixtures/parity/clave/clave	passed	cutover	unassigned	python_handler_ported_no_parity;canary_block_1_passed_2026-02-12_cutover_local
consultar	consultarCom	./api/contrib/consultar/module.php	W1_CORE	P0	completed	python_api.handlers.consultar.consultarCom	tests/fixtures/parity/consultar/consultarCom	passed	cutover	unassigned	python_handler_ported_no_parity;canary_block_3_passed_2026-02-12_cutover_local
crlibreall	FE	./api/contrib/crlibreall/module.php	W2_BUSINESS	P1	completed	python_api.handlers.crlibreall.FE	tests/fixtures/parity/crlibreall/FE	passed	cutover	unassigned	
crlibreall	NC	./api/contrib/crlibreall/module.php	W2_BUSINESS	P1	completed	python_api.handlers.crlibreall.NC	tests/fixtures/parity/crlibreall/NC	passed	cutover	unassigned	
crlibreall	ND	./api/contrib/crlibreall/module.php	W2_BUSINESS	P1	completed	python_api.handlers.crlibreall.ND	tests/fixtures/parity/crlibreall/ND	passed	cutover	unassigned	
crlibreall	gen_xml_nc	./api/contrib/crlibreall/module.php	W2_BUSINESS	P1	completed	python_api.handlers.crlibreall.gen_xml_nc	tests/fixtures/parity/crlibreall/gen_xml_nc	passed	cutover	unassigned	
crypto	desencrypt	./api/modules/crypto/module.php	W1_CORE	P2	completed	python_api.handlers.crypto.desencrypt	tests/fixtures/parity/crypto/desencrypt	passed	cutover	unassigned	python_handler_native_partial_no_parity;canary_block_4_passed_2026-02-12_cutover_local
crypto	encrypt	./api/modules/crypto/module.php	W1_CORE	P2	completed	python_api.handlers.crypto.encrypt	tests/fixtures/parity/crypto/encrypt	passed	cutover	unassigned	python_handler_native_partial_no_parity;canary_block_4_passed_2026-02-12_cutover_local
crypto	makeKey	./api/modules/crypto/module.php	W1_CORE	P2	completed	python_api.handlers.crypto.makeKey	tests/fixtures/parity/crypto/makeKey	passed	cutover	unassigned	python_handler_native_partial_no_parity;canary_block_4_passed_2026-02-12_cutover_local
ejemplo	hola	./api/contrib/ejemplo/module.php	W3_SUPPORT	P2	completed	python_api.handlers.ejemplo.hola	tests/fixtures/parity/ejemplo/hola	passed	cutover	unassigned	
ejemplo	un_usuario	./api/contrib/ejemplo/module.php	W3_SUPPORT	P2	completed	python_api.handlers.ejemplo.un_usuario	tests/fixtures/parity/ejemplo/un_usuario	passed	cutover	unassigned	
facturador	addInventaryProduct	./api/contrib/facturador/module.php	W2_BUSINESS	P1	completed	python_api.handlers.facturador.addInventaryProduct	tests/fixtures/parity/facturador/addInventaryProduct	passed	cutover	unassigned	
facturador	addSucursales	./api/contrib/facturador/module.php	W2_BUSINESS	P1	completed	python_api.handlers.facturador.addSucursales	tests/fixtures/parity/facturador/addSucursales	passed	cutover	unassigned	
facturador	add_companny_reciver	./api/contrib/facturador/module.php	W2_BUSINESS	P1	completed	python_api.handlers.facturador.add_companny_reciver	tests/fixtures/parity/facturador/add_companny_reciver	passed	cutover	unassigned	
facturador	add_terminal	./api/contrib/facturador/module.php	W2_BUSINESS	P1	completed	python_api.handlers.facturador.add_terminal	tests/fixtures/parity/facturador/add_terminal	passed	cutover	unassigned	
facturador	backup_user	./api/contrib/facturador/module.php	W2_BUSINESS	P1	completed	python_api.handlers.facturador.backup_user	tests/fixtures/parity/facturador/backup_user	passed	cutover	unassigned	
facturador	compannyUpdateInformation	./api/contrib/facturador/module.php	W2_BUSINESS	P1	completed	python_api.handlers.facturador.compannyUpdateInformation	tests/fixtures/parity/facturador/compannyUpdateInformation	passed	cutover	unassigned	
facturador	compannyUpdateLocation	./api/contrib/facturador/module.php	W2_BUSINESS	P1	completed	python_api.handlers.facturador.compannyUpdateLocation	tests/fixtures/parity/facturador/compannyUpdateLocation	passed	cutover	unassigned	
facturador	compannyUpdateTipoCambio	./api/contrib/facturador/module.php	W2_BUSINESS	P1	completed	python_api.handlers.facturador.compannyUpdateTipoCambio	tests/fixtures/parity/facturador/compannyUpdateTipoCambio	passed	cutover	unassigned	
facturador	companny_add_master_Consecutive	./api/contrib/facturador/module.php	W2_BUSINESS	P1	completed	python_api.handlers.facturador.companny_add_master_Consecutive	tests/fixtures/parity/facturador/companny_add_master_Consecutive	passed	cutover	unassigned	
facturador	companny_add_voucher	./api/contrib/facturador/module.php	W2_BUSINESS	P1	completed	python_api.handlers.facturador.companny_add_voucher	tests/fixtures/parity/facturador/companny_add_voucher	passed	cutover	unassigned	
facturador	companny_getMyConsecutive	./api/contrib/facturador/module.php	W2_BUSINESS	P1	completed	python_api.handlers.facturador.companny_getMyConsecutive	tests/fixtures/parity/facturador/companny_getMyConsecutive	passed	cutover	unassigned	
facturador	companny_getMyInfo	./api/contrib/facturador/module.php	W2_BUSINESS	P1	completed	python_api.handlers.facturador.companny_getMyInfo	tests/fixtures/parity/facturador/companny_getMyInfo	passed	cutover	unassigned	
facturador	companny_updateConsecutive	./api/contrib/facturador/module.php	W2_BUSINESS	P1	completed	python_api.handlers.facturador.companny_updateConsecutive	tests/fixtures/parity/facturador/companny_updateConsecutive	passed	cutover	unassigned	
facturador	companny_users_getMyDetails	./api/contrib/facturador/module.php	W2_BUSINESS	P1	completed	python_api.handlers.facturador.companny_users_getMyDetails	tests/fixtures/parity/facturador/companny_users_getMyDetails	passed	cutover	unassigned	
facturador	companny_users_get_my_details	./api/contrib/facturador/module.php	W2_BUSINESS	P1	completed	python_api.handlers.facturador.companny_users_get_my_details	tests/fixtures/parity/facturador/companny_users_get_my_details	passed	cutover	unassigned	
